episode,step,episodic reward,success rate,episodic length
1,355,1.963554590708066,0.05,157
1,360,1.963554590708066,0.05,162
1,365,1.963554590708066,0.05,167
1,370,1.963554590708066,0.05,172
1,375,1.963554590708066,0.05,177
1,380,1.963554590708066,0.05,182
1,385,1.963554590708066,0.05,187
1,390,1.963554590708066,0.05,192
1,395,1.963554590708066,0.05,197
1,400,1.963554590708066,0.05,202
1,405,1.963554590708066,0.05,207
1,410,1.963554590708066,0.05,212
1,415,1.963554590708066,0.05,217
1,420,1.963554590708066,0.05,222
2,425,1.0176814821345765,0.05,4
2,430,1.0176814821345765,0.05,9
2,435,1.0176814821345765,0.05,14
2,440,1.0176814821345765,0.05,19
2,445,1.0176814821345765,0.05,24
3,450,-0.7933655013987659,0.05,1
3,455,-0.7933655013987659,0.05,6
3,460,-0.7933655013987659,0.05,11
3,465,-0.7933655013987659,0.05,16
3,470,-0.7933655013987659,0.05,21
3,475,-0.7933655013987659,0.05,26
3,480,-0.7933655013987659,0.05,31
3,485,-0.7933655013987659,0.05,36
3,490,-0.7933655013987659,0.05,41
3,495,-0.7933655013987659,0.05,46
3,500,-0.7933655013987659,0.05,51
3,505,-0.7933655013987659,0.05,56
3,510,-0.7933655013987659,0.05,61
3,515,-0.7933655013987659,0.05,66
3,520,-0.7933655013987659,0.05,71
3,525,-0.7933655013987659,0.05,76
3,530,-0.7933655013987659,0.05,81
3,535,-0.7933655013987659,0.05,86
3,540,-0.7933655013987659,0.05,91
3,545,-0.7933655013987659,0.05,96
3,550,-0.7933655013987659,0.05,101
3,555,-0.7933655013987659,0.05,106
3,560,-0.7933655013987659,0.05,111
3,565,-0.7933655013987659,0.05,116
3,570,-0.7933655013987659,0.05,121
3,575,-0.7933655013987659,0.05,126
3,580,-0.7933655013987659,0.05,131
3,585,-0.7933655013987659,0.05,136
3,590,-0.7933655013987659,0.05,141
3,595,-0.7933655013987659,0.05,146
3,600,-0.7933655013987659,0.05,151
3,605,-0.7933655013987659,0.05,156
3,610,-0.7933655013987659,0.05,161
3,615,-0.7933655013987659,0.05,166
3,620,-0.7933655013987659,0.05,171
3,625,-0.7933655013987659,0.05,176
3,630,-0.7933655013987659,0.05,181
3,635,-0.7933655013987659,0.05,186
3,640,-0.7933655013987659,0.05,191
3,645,-0.7933655013987659,0.05,196
3,650,-0.7933655013987659,0.05,201
4,655,1.9611100788281584,0.1,2
4,660,1.9611100788281584,0.1,7
4,665,1.9611100788281584,0.1,12
4,670,1.9611100788281584,0.1,17
4,675,1.9611100788281584,0.1,22
5,680,-0.8105877202092207,0.1,1
5,685,-0.8105877202092207,0.1,6
5,690,-0.8105877202092207,0.1,11
5,695,-0.8105877202092207,0.1,16
5,700,-0.8105877202092207,0.1,21
5,705,-0.8105877202092207,0.1,26
5,710,-0.8105877202092207,0.1,31
5,715,-0.8105877202092207,0.1,36
5,720,-0.8105877202092207,0.1,41
5,725,-0.8105877202092207,0.1,46
5,730,-0.8105877202092207,0.1,51
5,735,-0.8105877202092207,0.1,56
5,740,-0.8105877202092207,0.1,61
5,745,-0.8105877202092207,0.1,66
5,750,-0.8105877202092207,0.1,71
5,755,-0.8105877202092207,0.1,76
5,760,-0.8105877202092207,0.1,81
5,765,-0.8105877202092207,0.1,86
5,770,-0.8105877202092207,0.1,91
5,775,-0.8105877202092207,0.1,96
5,780,-0.8105877202092207,0.1,101
5,785,-0.8105877202092207,0.1,106
5,790,-0.8105877202092207,0.1,111
5,795,-0.8105877202092207,0.1,116
5,800,-0.8105877202092207,0.1,121
5,805,-0.8105877202092207,0.1,126
5,810,-0.8105877202092207,0.1,131
5,815,-0.8105877202092207,0.1,136
5,820,-0.8105877202092207,0.1,141
5,825,-0.8105877202092207,0.1,146
5,830,-0.8105877202092207,0.1,151
5,835,-0.8105877202092207,0.1,156
5,840,-0.8105877202092207,0.1,161
5,845,-0.8105877202092207,0.1,166
5,850,-0.8105877202092207,0.1,171
5,855,-0.8105877202092207,0.1,176
5,860,-0.8105877202092207,0.1,181
5,865,-0.8105877202092207,0.1,186
5,870,-0.8105877202092207,0.1,191
5,875,-0.8105877202092207,0.1,196
5,880,-0.8105877202092207,0.1,201
6,885,1.0173489797513482,0.1,2
6,890,1.0173489797513482,0.1,7
6,895,1.0173489797513482,0.1,12
6,900,1.0173489797513482,0.1,17
6,905,1.0173489797513482,0.1,22
6,910,1.0173489797513482,0.1,27
6,915,1.0173489797513482,0.1,32
6,920,1.0173489797513482,0.1,37
6,925,1.0173489797513482,0.1,42
6,930,1.0173489797513482,0.1,47
6,935,1.0173489797513482,0.1,52
6,940,1.0173489797513482,0.1,57
6,945,1.0173489797513482,0.1,62
6,950,1.0173489797513482,0.1,67
6,955,1.0173489797513482,0.1,72
6,960,1.0173489797513482,0.1,77
6,965,1.0173489797513482,0.1,82
6,970,1.0173489797513482,0.1,87
6,975,1.0173489797513482,0.1,92
6,980,1.0173489797513482,0.1,97
6,985,1.0173489797513482,0.1,102
6,990,1.0173489797513482,0.1,107
6,995,1.0173489797513482,0.1,112
6,1000,1.0173489797513482,0.1,117
6,1005,1.0173489797513482,0.1,122
6,1010,1.0173489797513482,0.1,127
6,1015,1.0173489797513482,0.1,132
6,1020,1.0173489797513482,0.1,137
6,1025,1.0173489797513482,0.1,142
6,1030,1.0173489797513482,0.1,147
6,1035,1.0173489797513482,0.1,152
6,1040,1.0173489797513482,0.1,157
6,1045,1.0173489797513482,0.1,162
6,1050,1.0173489797513482,0.1,167
6,1055,1.0173489797513482,0.1,172
6,1060,1.0173489797513482,0.1,177
6,1065,1.0173489797513482,0.1,182
6,1070,1.0173489797513482,0.1,187
6,1075,1.0173489797513482,0.1,192
6,1080,1.0173489797513482,0.1,197
7,1085,1.961627693768448,0.15,5
7,1090,1.961627693768448,0.15,10
7,1095,1.961627693768448,0.15,15
7,1100,1.961627693768448,0.15,20
7,1105,1.961627693768448,0.15,25
7,1110,1.961627693768448,0.15,30
8,1115,-0.7754012586512408,0.15,3
8,1120,-0.7754012586512408,0.15,8
8,1125,-0.7754012586512408,0.15,13
8,1130,-0.7754012586512408,0.15,18
8,1135,-0.7754012586512408,0.15,23
9,1140,-0.8116846698755364,0.15,2
9,1145,-0.8116846698755364,0.15,7
9,1150,-0.8116846698755364,0.15,12
9,1155,-0.8116846698755364,0.15,17
9,1160,-0.8116846698755364,0.15,22
9,1165,-0.8116846698755364,0.15,27
9,1170,-0.8116846698755364,0.15,32
9,1175,-0.8116846698755364,0.15,37
9,1180,-0.8116846698755364,0.15,42
9,1185,-0.8116846698755364,0.15,47
9,1190,-0.8116846698755364,0.15,52
9,1195,-0.8116846698755364,0.15,57
9,1200,-0.8116846698755364,0.15,62
9,1205,-0.8116846698755364,0.15,67
9,1210,-0.8116846698755364,0.15,72
9,1215,-0.8116846698755364,0.15,77
9,1220,-0.8116846698755364,0.15,82
9,1225,-0.8116846698755364,0.15,87
9,1230,-0.8116846698755364,0.15,92
9,1235,-0.8116846698755364,0.15,97
9,1240,-0.8116846698755364,0.15,102
9,1245,-0.8116846698755364,0.15,107
9,1250,-0.8116846698755364,0.15,112
9,1255,-0.8116846698755364,0.15,117
9,1260,-0.8116846698755364,0.15,122
9,1265,-0.8116846698755364,0.15,127
9,1270,-0.8116846698755364,0.15,132
9,1275,-0.8116846698755364,0.15,137
9,1280,-0.8116846698755364,0.15,142
9,1285,-0.8116846698755364,0.15,147
9,1290,-0.8116846698755364,0.15,152
9,1295,-0.8116846698755364,0.15,157
9,1300,-0.8116846698755364,0.15,162
9,1305,-0.8116846698755364,0.15,167
9,1310,-0.8116846698755364,0.15,172
9,1315,-0.8116846698755364,0.15,177
9,1320,-0.8116846698755364,0.15,182
9,1325,-0.8116846698755364,0.15,187
9,1330,-0.8116846698755364,0.15,192
9,1335,-0.8116846698755364,0.15,197
9,1340,-0.8116846698755364,0.15,202
10,1345,1.9624038845028893,0.2,1
10,1350,1.9624038845028893,0.2,6
10,1355,1.9624038845028893,0.2,11
10,1360,1.9624038845028893,0.2,16
10,1365,1.9624038845028893,0.2,21
10,1370,1.9624038845028893,0.2,26
10,1375,1.9624038845028893,0.2,31
10,1380,1.9624038845028893,0.2,36
10,1385,1.9624038845028893,0.2,41
10,1390,1.9624038845028893,0.2,46
10,1395,1.9624038845028893,0.2,51
10,1400,1.9624038845028893,0.2,56
10,1405,1.9624038845028893,0.2,61
10,1410,1.9624038845028893,0.2,66
10,1415,1.9624038845028893,0.2,71
10,1420,1.9624038845028893,0.2,76
10,1425,1.9624038845028893,0.2,81
10,1430,1.9624038845028893,0.2,86
10,1435,1.9624038845028893,0.2,91
10,1440,1.9624038845028893,0.2,96
10,1445,1.9624038845028893,0.2,101
10,1450,1.9624038845028893,0.2,106
10,1455,1.9624038845028893,0.2,111
10,1460,1.9624038845028893,0.2,116
10,1465,1.9624038845028893,0.2,121
10,1470,1.9624038845028893,0.2,126
10,1475,1.9624038845028893,0.2,131
10,1480,1.9624038845028893,0.2,136
10,1485,1.9624038845028893,0.2,141
10,1490,1.9624038845028893,0.2,146
10,1495,1.9624038845028893,0.2,151
10,1500,1.9624038845028893,0.2,156
10,1505,1.9624038845028893,0.2,161
10,1510,1.9624038845028893,0.2,166
10,1515,1.9624038845028893,0.2,171
10,1520,1.9624038845028893,0.2,176
10,1525,1.9624038845028893,0.2,181
10,1530,1.9624038845028893,0.2,186
10,1535,1.9624038845028893,0.2,191
10,1540,1.9624038845028893,0.2,196
10,1545,1.9624038845028893,0.2,201
11,1550,1.0185647076864328,0.2,1
11,1555,1.0185647076864328,0.2,6
11,1560,1.0185647076864328,0.2,11
11,1565,1.0185647076864328,0.2,16
11,1570,1.0185647076864328,0.2,21
11,1575,1.0185647076864328,0.2,26
11,1580,1.0185647076864328,0.2,31
11,1585,1.0185647076864328,0.2,36
11,1590,1.0185647076864328,0.2,41
11,1595,1.0185647076864328,0.2,46
11,1600,1.0185647076864328,0.2,51
11,1605,1.0185647076864328,0.2,56
11,1610,1.0185647076864328,0.2,61
11,1615,1.0185647076864328,0.2,66
11,1620,1.0185647076864328,0.2,71
11,1625,1.0185647076864328,0.2,76
11,1630,1.0185647076864328,0.2,81
11,1635,1.0185647076864328,0.2,86
11,1640,1.0185647076864328,0.2,91
11,1645,1.0185647076864328,0.2,96
11,1650,1.0185647076864328,0.2,101
11,1655,1.0185647076864328,0.2,106
11,1660,1.0185647076864328,0.2,111
11,1665,1.0185647076864328,0.2,116
11,1670,1.0185647076864328,0.2,121
11,1675,1.0185647076864328,0.2,126
11,1680,1.0185647076864328,0.2,131
11,1685,1.0185647076864328,0.2,136
11,1690,1.0185647076864328,0.2,141
11,1695,1.0185647076864328,0.2,146
11,1700,1.0185647076864328,0.2,151
11,1705,1.0185647076864328,0.2,156
11,1710,1.0185647076864328,0.2,161
11,1715,1.0185647076864328,0.2,166
11,1720,1.0185647076864328,0.2,171
11,1725,1.0185647076864328,0.2,176
11,1730,1.0185647076864328,0.2,181
11,1735,1.0185647076864328,0.2,186
11,1740,1.0185647076864328,0.2,191
11,1745,1.0185647076864328,0.2,196
12,1750,1.9610468184940546,0.25,5
12,1755,1.9610468184940546,0.25,10
12,1760,1.9610468184940546,0.25,15
12,1765,1.9610468184940546,0.25,20
12,1770,1.9610468184940546,0.25,25
12,1775,1.9610468184940546,0.25,30
12,1780,1.9610468184940546,0.25,35
12,1785,1.9610468184940546,0.25,40
12,1790,1.9610468184940546,0.25,45
12,1795,1.9610468184940546,0.25,50
12,1800,1.9610468184940546,0.25,55
12,1805,1.9610468184940546,0.25,60
12,1810,1.9610468184940546,0.25,65
12,1815,1.9610468184940546,0.25,70
12,1820,1.9610468184940546,0.25,75
12,1825,1.9610468184940546,0.25,80
12,1830,1.9610468184940546,0.25,85
12,1835,1.9610468184940546,0.25,90
12,1840,1.9610468184940546,0.25,95
12,1845,1.9610468184940546,0.25,100
12,1850,1.9610468184940546,0.25,105
12,1855,1.9610468184940546,0.25,110
12,1860,1.9610468184940546,0.25,115
12,1865,1.9610468184940546,0.25,120
12,1870,1.9610468184940546,0.25,125
12,1875,1.9610468184940546,0.25,130
12,1880,1.9610468184940546,0.25,135
12,1885,1.9610468184940546,0.25,140
