episode,step,episodic reward,success rate,episodic length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
1,30,-1,0.0,1
1,35,-1,0.0,6
1,40,-1,0.0,11
1,45,-1,0.0,16
1,50,-1,0.0,21
1,55,-1,0.0,26
2,60,-1,0.0,2
2,65,-1,0.0,7
2,70,-1,0.0,12
2,75,-1,0.0,17
2,80,-1,0.0,22
2,85,-1,0.0,27
2,90,-1,0.0,32
2,95,-1,0.0,37
2,100,-1,0.0,42
2,105,-1,0.0,47
2,110,-1,0.0,52
2,115,-1,0.0,57
2,120,-1,0.0,62
2,125,-1,0.0,67
2,130,-1,0.0,72
2,135,-1,0.0,77
2,140,-1,0.0,82
2,145,-1,0.0,87
2,150,-1,0.0,92
2,155,-1,0.0,97
2,160,-1,0.0,102
2,165,-1,0.0,107
2,170,-1,0.0,112
2,175,-1,0.0,117
2,180,-1,0.0,122
2,185,-1,0.0,127
2,190,-1,0.0,132
2,195,-1,0.0,137
2,200,-1,0.0,142
2,205,-1,0.0,147
2,210,-1,0.0,152
2,215,-1,0.0,157
2,220,-1,0.0,162
2,225,-1,0.0,167
2,230,-1,0.0,172
2,235,-1,0.0,177
2,240,-1,0.0,182
2,245,-1,0.0,187
2,250,-1,0.0,192
2,255,-1,0.0,197
2,260,-1,0.0,202
3,265,1,0.05,1
3,270,1,0.05,6
3,275,1,0.05,11
3,280,1,0.05,16
3,285,1,0.05,21
3,290,1,0.05,26
3,295,1,0.05,31
3,300,1,0.05,36
3,305,1,0.05,41
3,310,1,0.05,46
3,315,1,0.05,51
3,320,1,0.05,56
3,325,1,0.05,61
3,330,1,0.05,66
3,335,1,0.05,71
3,340,1,0.05,76
3,345,1,0.05,81
3,350,1,0.05,86
3,355,1,0.05,91
3,360,1,0.05,96
3,365,1,0.05,101
3,370,1,0.05,106
3,375,1,0.05,111
3,380,1,0.05,116
3,385,1,0.05,121
3,390,1,0.05,126
3,395,1,0.05,131
3,400,1,0.05,136
3,405,1,0.05,141
3,410,1,0.05,146
3,415,1,0.05,151
3,420,1,0.05,156
